epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,19470,1.02767,0.85287,1.19316,0.82312,0.63803,0.73451,0.51765,1.16715,0.83206,1.10509,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,19668.2,1.03291,0.85459,1.19908,0.80819,0.6443,0.73469,0.51785,1.16695,0.83371,1.1049,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,19866.8,1.02557,0.85207,1.19341,0.83236,0.63216,0.73399,0.51752,1.16657,0.83423,1.10503,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,20065.2,1.02623,0.84965,1.19449,0.80013,0.64866,0.73397,0.51684,1.16672,0.83535,1.10516,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,20263.4,1.0208,0.84777,1.19218,0.81598,0.64006,0.73381,0.51685,1.16587,0.83668,1.10438,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,20461.8,1.0225,0.8453,1.19391,0.81233,0.64187,0.73384,0.51655,1.16516,0.83576,1.10392,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,20660.2,1.02484,0.84093,1.19279,0.81344,0.64243,0.73338,0.51626,1.16495,0.83493,1.10385,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,20858.4,1.02059,0.83768,1.18867,0.81475,0.63977,0.73229,0.51588,1.16547,0.83626,1.10428,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,21056.6,1.02057,0.84016,1.1899,0.8168,0.64057,0.7336,0.51612,1.16548,0.83707,1.10463,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,21255.2,1.01684,0.83309,1.18947,0.80795,0.64389,0.73301,0.51597,1.16712,0.83913,1.10576,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,21453.2,1.01675,0.82999,1.18436,0.80826,0.64526,0.73322,0.51634,1.16707,0.84099,1.1054,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,21651.4,1.01634,0.83719,1.1834,0.80583,0.64682,0.733,0.51558,1.16715,0.84261,1.10513,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,21849.5,1.0109,0.83034,1.1875,0.81062,0.64482,0.7334,0.51739,1.16681,0.84523,1.10496,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,22047.5,1.00917,0.82031,1.17757,0.80624,0.64662,0.733,0.51842,1.16689,0.84705,1.10466,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,22245.3,1.00693,0.8228,1.18206,0.80725,0.64476,0.73267,0.51809,1.16603,0.84791,1.10415,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,22443.2,1.0028,0.81598,1.17783,0.80508,0.64292,0.73116,0.51792,1.16603,0.84878,1.10415,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,22641.3,1.0064,0.82187,1.1819,0.80569,0.64201,0.73058,0.51837,1.16675,0.85092,1.10422,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,22839.3,1.00117,0.80918,1.17401,0.80811,0.64209,0.72976,0.51739,1.16651,0.85187,1.10368,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,23037.3,1.00137,0.81429,1.17819,0.80889,0.64122,0.72942,0.51715,1.16689,0.85231,1.10429,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,23235.1,0.99298,0.81096,1.17385,0.8047,0.64054,0.72843,0.51741,1.16626,0.85308,1.10419,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,23433.3,0.996,0.80548,1.17005,0.80522,0.64065,0.7286,0.51764,1.16642,0.8527,1.10379,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,23631.7,0.99155,0.806,1.17306,0.80403,0.64122,0.72792,0.517,1.16661,0.85319,1.10408,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,23829.5,0.99248,0.80319,1.16906,0.81164,0.63563,0.72655,0.51701,1.16581,0.85358,1.10365,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,24028.6,0.99015,0.80272,1.16737,0.81578,0.63423,0.72633,0.51574,1.16591,0.85444,1.10402,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,24227.7,0.98658,0.80016,1.16758,0.8059,0.63751,0.72594,0.51579,1.16435,0.8551,1.10366,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,24427.3,0.98549,0.79652,1.1663,0.80444,0.63815,0.7256,0.51524,1.16525,0.85699,1.10401,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,24625.2,0.98245,0.79387,1.16236,0.8047,0.63581,0.72566,0.51536,1.16477,0.8571,1.10381,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,24823.7,0.98754,0.79386,1.16654,0.80994,0.63774,0.72548,0.51483,1.16459,0.85912,1.10392,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,25024.4,0.98082,0.7899,1.16169,0.81057,0.63797,0.72454,0.51443,1.16459,0.8593,1.10399,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,25222.3,0.96992,0.78018,1.15836,0.81154,0.63808,0.72425,0.51431,1.16493,0.86066,1.10398,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,25420.3,0.9729,0.78346,1.15774,0.81043,0.6367,0.72374,0.51397,1.16433,0.86139,1.10425,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,25618.2,0.97682,0.78051,1.15356,0.81341,0.6354,0.72381,0.51402,1.16372,0.86113,1.10332,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,25815.8,0.97808,0.7869,1.15945,0.81469,0.63488,0.72415,0.51351,1.16349,0.86185,1.10335,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,26013.4,0.97122,0.77895,1.15479,0.81474,0.63617,0.72414,0.51414,1.16286,0.86245,1.1034,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
