               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.045243,            0.016487,           0.0015641,             0.78714,              0.6306,             0.72513,             0.46241,            0.041897,             0.02428,           0.0021135,            0.007393,            0.007393,            0.007393
                  81,            0.044599,            0.016407,            0.001434,             0.78821,             0.63014,             0.72485,             0.46283,            0.041888,            0.024279,           0.0021247,             0.00736,             0.00736,             0.00736
                  82,            0.044761,            0.016319,           0.0015234,             0.78745,              0.6288,             0.72463,             0.46175,            0.041883,            0.024284,             0.00215,            0.007327,            0.007327,            0.007327
                  83,            0.044332,            0.016395,           0.0013295,             0.78742,             0.62816,             0.72369,              0.4621,            0.041895,            0.024281,            0.002159,            0.007294,            0.007294,            0.007294
                  84,            0.044728,            0.016651,           0.0013694,             0.78648,             0.62988,             0.72386,             0.46214,            0.041899,            0.024286,           0.0021674,            0.007261,            0.007261,            0.007261
                  85,            0.044547,            0.016333,           0.0014415,             0.78334,             0.62922,              0.7244,              0.4625,            0.041905,            0.024287,           0.0021784,            0.007228,            0.007228,            0.007228
                  86,            0.044165,            0.016447,            0.001293,             0.78048,             0.63352,             0.72333,             0.46214,            0.041919,             0.02429,           0.0021882,            0.007195,            0.007195,            0.007195
                  87,            0.044272,            0.016462,           0.0014941,             0.78022,              0.6336,             0.72466,             0.46184,            0.041935,            0.024294,           0.0022037,            0.007162,            0.007162,            0.007162
                  88,            0.044234,            0.016267,           0.0012917,             0.77825,             0.63398,             0.72454,             0.46137,            0.041953,             0.02429,           0.0022229,            0.007129,            0.007129,            0.007129
                  89,            0.044386,            0.016508,           0.0014418,             0.77673,             0.63575,             0.72513,             0.46168,            0.041972,            0.024291,           0.0022432,            0.007096,            0.007096,            0.007096
                  90,            0.044383,            0.016477,           0.0013705,             0.77814,             0.63659,             0.72534,             0.46181,            0.041971,            0.024297,           0.0022515,            0.007063,            0.007063,            0.007063
                  91,            0.044483,             0.01645,           0.0013499,             0.77827,             0.63746,             0.72591,             0.46185,            0.041954,            0.024303,           0.0022725,             0.00703,             0.00703,             0.00703
                  92,            0.044593,            0.016436,            0.001269,             0.77964,             0.63746,             0.72472,             0.46143,            0.041958,            0.024309,           0.0022968,            0.006997,            0.006997,            0.006997
                  93,            0.044491,            0.016386,           0.0013016,             0.77549,             0.63934,             0.72489,             0.46137,            0.041956,            0.024312,           0.0023173,            0.006964,            0.006964,            0.006964
                  94,            0.044282,             0.01639,           0.0015778,             0.77795,             0.63957,             0.72476,              0.4621,            0.041953,            0.024311,           0.0023299,            0.006931,            0.006931,            0.006931
                  95,            0.044462,            0.016437,           0.0014013,             0.77825,             0.64104,             0.72417,             0.46309,            0.041937,            0.024313,           0.0023118,            0.006898,            0.006898,            0.006898
                  96,            0.044318,            0.016247,           0.0014118,             0.77643,             0.64021,               0.724,             0.46222,             0.04193,            0.024313,            0.002306,            0.006865,            0.006865,            0.006865
                  97,            0.044261,            0.016332,           0.0014014,             0.77727,             0.63789,             0.72362,             0.46305,             0.04193,            0.024316,           0.0023187,            0.006832,            0.006832,            0.006832
                  98,            0.044095,            0.016204,           0.0013194,             0.77785,             0.63738,             0.72422,             0.46232,            0.041926,            0.024315,           0.0023145,            0.006799,            0.006799,            0.006799
                  99,            0.044219,            0.016254,           0.0012877,             0.77887,             0.63625,             0.72485,             0.46289,            0.041929,            0.024311,           0.0023157,            0.006766,            0.006766,            0.006766
                 100,            0.043921,            0.016295,           0.0012506,             0.77881,             0.63659,             0.72528,             0.46373,            0.041933,            0.024304,           0.0023283,            0.006733,            0.006733,            0.006733
                 101,            0.043838,            0.016274,           0.0012287,             0.77917,             0.63773,               0.725,             0.46448,            0.041934,              0.0243,           0.0023532,              0.0067,              0.0067,              0.0067
                 102,            0.043881,            0.016282,            0.001272,             0.77645,              0.6388,             0.72525,             0.46451,            0.041928,            0.024294,           0.0023682,            0.006667,            0.006667,            0.006667
                 103,            0.043658,            0.016243,           0.0011769,             0.77709,             0.63886,             0.72566,             0.46455,            0.041923,            0.024293,            0.002393,            0.006634,            0.006634,            0.006634
                 104,            0.043831,            0.016127,           0.0013432,             0.77421,             0.64011,             0.72515,             0.46479,            0.041923,            0.024292,           0.0024148,            0.006601,            0.006601,            0.006601
                 105,            0.043718,            0.016197,           0.0012716,             0.77204,             0.64034,             0.72354,             0.46401,            0.041923,            0.024295,           0.0024258,            0.006568,            0.006568,            0.006568
                 106,            0.043677,            0.016018,           0.0013371,             0.77251,             0.64121,              0.7242,             0.46358,            0.041927,            0.024291,           0.0024284,            0.006535,            0.006535,            0.006535
                 107,            0.043678,             0.01611,           0.0011588,             0.77139,             0.64486,             0.72309,             0.46337,            0.041917,             0.02429,           0.0024075,            0.006502,            0.006502,            0.006502
                 108,            0.043551,            0.016168,           0.0011684,             0.76948,             0.64877,             0.72541,             0.46418,            0.041917,            0.024287,           0.0023914,            0.006469,            0.006469,            0.006469
                 109,            0.043801,            0.016057,           0.0012433,             0.76926,              0.6495,             0.72431,             0.46373,            0.041914,            0.024284,           0.0023719,            0.006436,            0.006436,            0.006436
                 110,              0.0439,            0.016028,            0.001175,             0.76466,             0.65045,             0.72446,             0.46342,            0.041919,            0.024282,            0.002362,            0.006403,            0.006403,            0.006403
                 111,            0.043293,            0.016001,           0.0011842,              0.7592,             0.65229,              0.7241,             0.46372,            0.041915,            0.024282,           0.0023506,             0.00637,             0.00637,             0.00637
                 112,             0.04361,            0.016079,           0.0011643,             0.76055,             0.64993,             0.72498,             0.46374,            0.041902,            0.024287,            0.002329,            0.006337,            0.006337,            0.006337
                 113,            0.043811,             0.01623,           0.0012648,             0.75854,             0.65181,             0.72426,             0.46356,            0.041898,            0.024288,           0.0023229,            0.006304,            0.006304,            0.006304
                 114,            0.043502,            0.016085,           0.0012556,             0.76283,             0.65134,             0.72413,             0.46292,            0.041886,            0.024291,           0.0023204,            0.006271,            0.006271,            0.006271
                 115,            0.043538,            0.016224,           0.0012649,             0.76088,             0.65364,             0.72477,              0.4629,            0.041878,            0.024294,           0.0023285,            0.006238,            0.006238,            0.006238
                 116,            0.043569,            0.015932,           0.0012388,             0.76227,             0.65244,             0.72454,             0.46378,            0.041892,            0.024292,           0.0023429,            0.006205,            0.006205,            0.006205
                 117,            0.043067,            0.016163,           0.0013297,             0.76552,              0.6505,             0.72427,             0.46372,            0.041907,            0.024288,           0.0023621,            0.006172,            0.006172,            0.006172
                 118,            0.043121,            0.016139,            0.001184,             0.76482,             0.65269,             0.72508,             0.46427,            0.041902,            0.024285,            0.002373,            0.006139,            0.006139,            0.006139
                 119,            0.043217,            0.016068,           0.0012106,             0.76471,             0.65079,             0.72513,             0.46432,            0.041895,            0.024286,           0.0023741,            0.006106,            0.006106,            0.006106
                 120,            0.043181,            0.015875,           0.0011525,             0.76256,             0.65136,             0.72585,             0.46449,              0.0419,            0.024285,           0.0023771,            0.006073,            0.006073,            0.006073
                 121,            0.043222,            0.015833,           0.0012115,             0.76207,             0.64972,             0.72536,             0.46403,             0.04189,            0.024287,           0.0023779,             0.00604,             0.00604,             0.00604
                 122,            0.043125,             0.01603,           0.0011779,             0.75834,             0.65095,             0.72621,             0.46503,            0.041886,            0.024285,           0.0023643,            0.006007,            0.006007,            0.006007
                 123,            0.043202,            0.015774,           0.0011779,             0.76359,             0.64781,             0.72654,             0.46562,            0.041894,            0.024283,           0.0023581,            0.005974,            0.005974,            0.005974
                 124,            0.043326,            0.016037,           0.0012012,             0.76442,             0.64838,             0.72684,             0.46554,            0.041907,            0.024287,           0.0023463,            0.005941,            0.005941,            0.005941
                 125,            0.042758,            0.015986,           0.0011011,             0.76598,              0.6474,             0.72676,             0.46579,             0.04191,            0.024285,           0.0023451,            0.005908,            0.005908,            0.005908
                 126,            0.043133,            0.016144,           0.0011901,             0.76356,             0.64787,              0.7263,              0.4655,            0.041909,            0.024286,            0.002349,            0.005875,            0.005875,            0.005875
                 127,            0.043019,             0.01604,           0.0012272,             0.76552,             0.64797,             0.72656,             0.46563,            0.041907,            0.024283,           0.0023584,            0.005842,            0.005842,            0.005842
                 128,            0.043083,            0.015966,           0.0012467,              0.7614,             0.64774,              0.7256,              0.4647,             0.04191,            0.024287,           0.0023472,            0.005809,            0.005809,            0.005809
                 129,            0.043014,            0.015862,           0.0012642,             0.76282,              0.6482,             0.72579,              0.4654,            0.041906,            0.024289,           0.0023397,            0.005776,            0.005776,            0.005776
                 130,            0.043131,            0.015795,           0.0010732,             0.76575,             0.64748,             0.72475,             0.46463,            0.041888,            0.024294,           0.0023303,            0.005743,            0.005743,            0.005743
                 131,            0.042787,            0.015841,           0.0012004,             0.76652,             0.64976,              0.7265,             0.46595,            0.041881,            0.024294,           0.0023279,             0.00571,             0.00571,             0.00571
                 132,            0.042858,            0.016015,           0.0011294,             0.76691,             0.64961,             0.72647,             0.46604,            0.041875,            0.024298,           0.0023324,            0.005677,            0.005677,            0.005677
                 133,            0.042814,            0.015913,           0.0010949,             0.76853,             0.64861,             0.72665,              0.4668,            0.041865,            0.024298,           0.0023274,            0.005644,            0.005644,            0.005644
                 134,            0.042962,            0.015778,           0.0012427,             0.77086,             0.64489,             0.72729,             0.46717,            0.041871,            0.024295,           0.0023299,            0.005611,            0.005611,            0.005611
                 135,            0.042543,            0.015623,           0.0011291,             0.77145,             0.64514,             0.72693,             0.46788,            0.041866,            0.024296,           0.0023331,            0.005578,            0.005578,            0.005578
                 136,            0.042768,            0.015794,           0.0012456,             0.77167,             0.64254,             0.72719,             0.46817,             0.04186,              0.0243,           0.0023234,            0.005545,            0.005545,            0.005545
                 137,            0.042758,             0.01581,           0.0011199,             0.76697,             0.64722,             0.72765,             0.46785,            0.041858,            0.024298,           0.0023218,            0.005512,            0.005512,            0.005512
                 138,             0.04256,            0.015627,            0.001086,             0.76687,             0.64645,             0.72791,             0.46776,            0.041857,            0.024302,           0.0023264,            0.005479,            0.005479,            0.005479
                 139,            0.042777,            0.015827,           0.0011012,             0.76827,             0.64552,             0.72739,             0.46758,            0.041838,            0.024311,           0.0023044,            0.005446,            0.005446,            0.005446
                 140,            0.042723,            0.015858,           0.0011593,             0.77006,              0.6442,             0.72789,             0.46782,            0.041839,            0.024315,           0.0023045,            0.005413,            0.005413,            0.005413
                 141,            0.042622,            0.015707,          0.00099238,             0.77192,             0.64506,             0.72807,             0.46857,            0.041833,            0.024322,           0.0023067,             0.00538,             0.00538,             0.00538
                 142,            0.042312,            0.015778,            0.001037,             0.77065,              0.6441,             0.72754,             0.46874,            0.041832,            0.024327,           0.0022925,            0.005347,            0.005347,            0.005347
                 143,            0.042563,            0.015668,           0.0010619,             0.77393,               0.643,             0.72748,             0.46887,            0.041832,            0.024328,           0.0022775,            0.005314,            0.005314,            0.005314
